date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:31	141175/141175	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2014:07:52%20GMT	https://www.experte.com/background-remover	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/background-remover.html	(from )
20:20:31	14/14	---M--	200	added ('OK')	text/plain	etag:W/%22e-4977387000%22	https://www.experte.com/robots.txt		(from )
20:20:32	82994/82994	---MCZ	200	added ('OK')	text/css	etag:W/%2214432-4977387000%22	https://www.experte.com/styles.css	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/styles.css	(from https://www.experte.com/background-remover)
20:20:32	22076/22076	---M--	200	added ('OK')	font/woff2	etag:W/%22563c-4977387000%22	https://www.experte.com/assets/fonts/gilroy-regular.woff2	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/assets/fonts/gilroy-regular.woff2	(from https://www.experte.com/background-remover)
20:20:32	22268/22268	---M--	200	added ('OK')	font/woff2	etag:W/%2256fc-4977387000%22	https://www.experte.com/assets/fonts/gilroy-medium.woff2	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/assets/fonts/gilroy-medium.woff2	(from https://www.experte.com/background-remover)
20:20:33	22056/22056	---M--	200	added ('OK')	font/woff2	etag:W/%225628-4977387000%22	https://www.experte.com/assets/fonts/gilroy-bold.woff2	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/assets/fonts/gilroy-bold.woff2	(from https://www.experte.com/background-remover)
20:20:33	755/755	---M--	200	added ('OK')	image/png	etag:W/%222f3-4977387000%22	https://www.experte.com/assets/favicons/www.experte.com/apple-touch-icon.png	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/assets/favicons/www.experte.com/apple-touch-icon.png	(from https://www.experte.com/background-remover)
20:20:33	1454/1454	---M--	200	added ('OK')	image/png	etag:W/%225ae-4977387000%22	https://www.experte.com/assets/favicons/www.experte.com/favicon-32x32.png	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/assets/favicons/www.experte.com/favicon-32x32.png	(from https://www.experte.com/background-remover)
20:20:33	1016/1016	---M--	200	added ('OK')	image/png	etag:W/%223f8-4977387000%22	https://www.experte.com/assets/favicons/www.experte.com/favicon-16x16.png	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/assets/favicons/www.experte.com/favicon-16x16.png	(from https://www.experte.com/background-remover)
20:20:34	350/350	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%2215e-4977387000%22	https://www.experte.com/assets/favicons/www.experte.com/site.webmanifest	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/assets/favicons/www.experte.com/site.webmanifest	(from https://www.experte.com/background-remover)
20:20:34	167802/167802	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2014:50:32%20GMT	https://www.experte.com/fr/background-remover	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/fr/background-remover.html	(from https://www.experte.com/background-remover)
20:20:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Feb%202024%2014:50:32%20GMT	http://www.experte.com/	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/index.html	(from https://www.experte.com/background-remover)
20:20:35	2763/2763	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Jan%202024%2017:06:20%20GMT	https://www.experte.com/images/experte-com-logo.png?h=38	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/images/experte-com-logo5cda.png	(from https://www.experte.com/background-remover)
20:20:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Feb%202024%2014:50:33%20GMT	http://www.experte.com/website	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/website	(from https://www.experte.com/background-remover)
20:20:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Feb%202024%2014:50:34%20GMT	http://www.experte.com/create-a-website	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/create-a-website	(from https://www.experte.com/background-remover)
20:20:37	220360/220360	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2014:50:34%20GMT	https://www.experte.com/website	C:/Users/Sanvi%20Sardana/Downloads/supero/supero/www.experte.com/website.html	(from https://www.experte.com/background-remover)
